team_id,user_id,role,joined_at
2,222,owner,2025-02-15 00:20:12
2,27,member,2025-02-09 00:20:12
2,335,member,2025-02-09 00:20:12
5,240,owner,2025-03-11 12:13:53
5,922,member,2025-03-21 12:13:53
5,916,member,2025-03-19 12:13:53
7,857,owner,2025-04-23 16:49:07
7,12,member,2025-04-21 16:49:07
7,755,member,2025-04-25 16:49:07
8,948,owner,2025-04-01 17:44:53
8,992,member,2025-04-02 17:44:53
9,695,owner,2025-04-04 01:03:15
9,539,member,2025-04-01 01:03:15
9,806,member,2025-04-03 01:03:15
10,538,owner,2025-02-04 17:08:00
10,785,member,2025-02-04 17:08:00
10,126,member,2025-02-13 17:08:00
11,745,owner,2025-04-27 16:09:44
11,927,member,2025-04-22 16:09:44
11,224,member,2025-04-19 16:09:44
11,80,member,2025-04-19 16:09:44
12,911,owner,2025-03-03 07:17:22
12,377,member,2025-03-03 07:17:22
12,622,member,2025-02-25 07:17:22
12,547,member,2025-02-23 07:17:22
13,718,owner,2025-05-05 18:30:26
13,862,member,2025-05-01 18:30:26
14,721,owner,2025-04-08 10:08:14
14,291,member,2025-04-15 10:08:14
14,765,member,2025-04-07 10:08:14
15,326,owner,2025-02-13 22:35:35
15,601,member,2025-02-16 22:35:35
15,46,member,2025-02-11 22:35:35
15,49,member,2025-02-17 22:35:35
15,253,member,2025-02-20 22:35:35
18,437,owner,2025-04-22 09:13:02
18,558,member,2025-04-22 09:13:02
20,199,owner,2025-01-18 04:58:06
20,561,member,2025-01-17 04:58:06
22,144,owner,2025-02-15 02:38:36
22,11,member,2025-02-08 02:38:36
22,75,member,2025-02-14 02:38:36
25,786,owner,2025-03-22 04:31:53
25,535,member,2025-03-27 04:31:53
26,154,owner,2025-04-04 20:15:52
26,710,member,2025-03-31 20:15:52
26,626,member,2025-04-01 20:15:52
27,262,owner,2025-03-06 15:45:07
27,107,member,2025-03-05 15:45:07
27,68,member,2025-03-11 15:45:07
28,948,owner,2025-01-13 12:11:48
28,338,member,2025-01-18 12:11:48
28,249,member,2025-01-19 12:11:48
30,273,owner,2025-03-14 02:40:33
30,364,member,2025-03-23 02:40:33
32,130,owner,2025-02-11 22:33:36
32,881,member,2025-02-17 22:33:36
32,587,member,2025-02-15 22:33:36
33,484,owner,2025-04-24 09:24:36
33,425,member,2025-04-23 09:24:36
33,351,member,2025-04-21 09:24:36
33,736,member,2025-04-28 09:24:36
37,912,owner,2025-04-13 06:20:48
37,118,member,2025-04-14 06:20:48
37,703,member,2025-04-06 06:20:48
38,946,owner,2025-03-07 06:52:48
38,839,member,2025-03-11 06:52:48
38,331,member,2025-03-13 06:52:48
38,129,member,2025-03-05 06:52:48
39,225,owner,2025-03-22 10:33:59
39,70,member,2025-03-27 10:33:59
39,531,member,2025-03-18 10:33:59
40,6,owner,2025-02-11 10:15:57
40,252,member,2025-02-09 10:15:57
40,722,member,2025-02-12 10:15:57
43,561,owner,2025-01-29 13:00:54
43,575,member,2025-01-29 13:00:54
43,883,member,2025-02-02 13:00:54
46,477,owner,2025-02-12 23:27:27
46,684,member,2025-02-14 23:27:27
46,776,member,2025-02-13 23:27:27
46,316,member,2025-02-17 23:27:27
47,223,owner,2025-04-06 04:41:29
47,981,member,2025-04-07 04:41:29
47,37,member,2025-04-01 04:41:29
47,726,member,2025-04-05 04:41:29
49,441,owner,2025-03-21 15:03:48
49,398,member,2025-03-15 15:03:48
53,102,owner,2025-01-24 10:48:10
53,91,member,2025-01-20 10:48:10
54,25,owner,2025-01-18 23:26:51
54,219,member,2025-01-14 23:26:51
54,76,member,2025-01-18 23:26:51
54,610,member,2025-01-20 23:26:51
55,997,owner,2025-04-15 16:12:35
55,581,member,2025-04-09 16:12:35
55,987,member,2025-04-09 16:12:35
56,592,owner,2025-01-23 02:41:41
56,744,member,2025-01-22 02:41:41
56,152,member,2025-01-24 02:41:41
58,146,owner,2025-02-04 00:39:10
58,510,member,2025-02-08 00:39:10
59,860,owner,2025-02-21 01:19:44
59,188,member,2025-02-18 01:19:44
61,988,owner,2025-02-25 16:00:54
61,482,member,2025-03-01 16:00:54
62,612,owner,2025-05-07 04:27:35
62,657,member,2025-05-06 04:27:35
63,254,owner,2025-04-25 14:42:53
63,835,member,2025-04-23 14:42:53
63,572,member,2025-04-17 14:42:53
66,305,owner,2025-02-17 22:45:43
66,369,member,2025-02-20 22:45:43
66,425,member,2025-02-21 22:45:43
66,509,member,2025-02-18 22:45:43
67,723,owner,2025-04-25 02:27:26
67,125,member,2025-04-25 02:27:26
67,170,member,2025-04-28 02:27:26
68,122,owner,2025-02-24 00:55:35
68,954,member,2025-02-25 00:55:35
70,464,owner,2025-03-02 06:04:03
70,11,member,2025-03-05 06:04:03
71,388,owner,2025-03-21 17:25:53
71,191,member,2025-03-22 17:25:53
71,783,member,2025-03-24 17:25:53
72,797,owner,2025-02-28 23:38:16
72,149,member,2025-02-28 23:38:16
72,974,member,2025-02-20 23:38:16
73,836,owner,2025-02-10 08:23:33
73,754,member,2025-02-06 08:23:33
73,785,member,2025-02-10 08:23:33
74,998,owner,2025-02-22 21:38:05
74,460,member,2025-02-28 21:38:05
74,513,member,2025-03-01 21:38:05
75,502,owner,2025-02-07 00:51:53
75,72,member,2025-02-02 00:51:53
75,654,member,2025-02-07 00:51:53
75,531,member,2025-02-07 00:51:53
76,866,owner,2025-05-01 19:25:24
76,856,member,2025-05-03 19:25:24
76,96,member,2025-05-05 19:25:24
76,699,member,2025-04-30 19:25:24
77,937,owner,2025-02-11 21:56:21
77,260,member,2025-02-09 21:56:21
77,709,member,2025-02-11 21:56:21
78,529,owner,2025-03-25 02:35:33
78,585,member,2025-03-22 02:35:33
78,8,member,2025-03-20 02:35:33
79,424,owner,2025-02-14 11:32:52
79,313,member,2025-02-15 11:32:52
79,788,member,2025-02-11 11:32:52
81,814,owner,2025-03-22 06:22:31
81,305,member,2025-03-22 06:22:31
82,397,owner,2025-04-09 21:58:53
82,586,member,2025-04-12 21:58:53
82,426,member,2025-04-12 21:58:53
83,347,owner,2025-03-04 08:02:07
83,917,member,2025-02-27 08:02:07
83,251,member,2025-03-05 08:02:07
83,740,member,2025-03-02 08:02:07
84,806,owner,2025-03-26 11:06:36
84,655,member,2025-03-24 11:06:36
84,695,member,2025-03-21 11:06:36
84,224,member,2025-03-27 11:06:36
85,332,owner,2025-04-02 01:10:04
85,781,member,2025-03-27 01:10:04
85,486,member,2025-03-31 01:10:04
87,215,owner,2025-03-17 09:55:42
87,841,member,2025-03-13 09:55:42
89,780,owner,2025-03-29 07:29:49
89,174,member,2025-03-28 07:29:49
90,943,owner,2025-05-09 15:36:26
90,401,member,2025-05-06 15:36:26
90,765,member,2025-05-05 15:36:26
90,570,member,2025-05-04 15:36:26
90,31,member,2025-05-06 15:36:26
