post_id,user_id,team_id,title,content,created_at,updated_at
1,222,2,Synthesize Qualitative Analysis for IS100-Zealous (IS100),"Our work aligns with IS - Exploring the iSchool with a Human-Centered Lens. This post focuses on the literature review. Key topics: Oral Histories, Community Research, Policy Review. Toolkit: Interview Protocols, Transcription, Coding Schemes. We'll iterate with weekly check-ins and maintain documentation for grading and peer collaboration.",2025-02-15 13:53:16,2025-02-15 13:53:16
2,222,2,Conduct Community Research for IS100-Zealous (IS100),"Our work aligns with IS - Exploring the iSchool with a Human-Centered Lens. This post focuses on the coding framework. Key topics: Qualitative Analysis, Policy Review, Archival Work. Toolkit: Interview Protocols, IRB-style Ethics, Thematic Analysis. We'll iterate with weekly check-ins and maintain documentation for grading and peer collaboration.",2025-02-16 13:53:16,2025-02-16 13:53:16
3,240,5,Conduct Community Research for CEE350-Tenacious (CEE350),"Our work aligns with CEE - Water Resources Engineering. This post focuses on the field notes set. Key topics: Qualitative Analysis, Archival Work, Narrative Mapping. Toolkit: Thematic Analysis, Coding Schemes, IRB-style Ethics. We'll iterate with weekly check-ins and maintain documentation for grading and peer collaboration.",2025-01-17 19:31:48,2025-01-17 19:31:48
4,857,7,Present Narrative Mapping for MUS432-Agile (MUS432),"Our work aligns with MUS - Piano Pedagogy II. This post focuses on the literature review. Key topics: Ethnography, Archival Work, Community Research. Toolkit: Coding Schemes, Interview Protocols, Thematic Analysis. We'll iterate with weekly check-ins and maintain documentation for grading and peer collaboration.",2025-03-09 15:34:19,2025-03-19 20:26:19
5,857,7,Conduct Ethnography for MUS432-Agile (MUS432),"Our work aligns with MUS - Piano Pedagogy II. This post focuses on the coding framework. Key topics: Qualitative Analysis, Community Research, Oral Histories. Toolkit: Interview Protocols, IRB-style Ethics, Thematic Analysis. We'll iterate with weekly check-ins and maintain documentation for grading and peer collaboration.",2025-03-12 15:34:19,2025-03-21 17:28:19
6,948,8,Present Archival Work for IE598-Progressive (IE598),"Our work aligns with IE - Special Topics. This post focuses on the coding framework. Key topics: Archival Work, Community Research, Ethnography. Toolkit: Thematic Analysis, Coding Schemes, IRB-style Ethics. We'll iterate with weekly check-ins and maintain documentation for grading and peer collaboration.",2025-04-14 14:51:08,2025-04-19 20:41:08
7,695,9,Conduct Policy Review for STAT590-Honest (STAT590),"Our work aligns with STAT - Individual Study and Research. This post focuses on the literature review. Key topics: Narrative Mapping, Qualitative Analysis, Community Research. Toolkit: Coding Schemes, Thematic Analysis, Interview Protocols. We'll iterate with weekly check-ins and maintain documentation for grading and peer collaboration.",2025-03-28 12:11:07,2025-03-28 12:11:07
8,538,10,Present Oral Histories for MUS208-Agile (MUS208),"Our work aligns with MUS - Musicianship IV. This post focuses on the poster session. Key topics: Policy Review, Qualitative Analysis, Community Research. Toolkit: Thematic Analysis, Interview Protocols, Transcription. We'll iterate with weekly check-ins and maintain documentation for grading and peer collaboration.",2025-03-27 09:44:14,2025-03-27 09:44:14
9,745,11,Facilitate Policy Review for GWS201-Bold (GWS201),"Our work aligns with GWS - Race, Gender &amp; Power. This post focuses on the community brief. Key topics: Narrative Mapping, Community Research, Archival Work. Toolkit: Transcription, IRB-style Ethics, Interview Protocols. We'll iterate with weekly check-ins and maintain documentation for grading and peer collaboration.",2025-03-13 14:38:28,2025-03-23 18:16:28
10,911,12,Document Ethnography for IE525-Bold (IE525),"Our work aligns with IE - Stochastic Calculus &amp; Numerical Models in Finance. This post focuses on the literature review. Key topics: Archival Work, Oral Histories, Narrative Mapping. Toolkit: Coding Schemes, Interview Protocols, Transcription. We'll iterate with weekly check-ins and maintain documentation for grading and peer collaboration.",2025-03-29 14:48:16,2025-04-08 18:49:16
11,718,13,Facilitate Policy Review for MUS110-Youthful (MUS110),"Our work aligns with MUS - Introd Art Mus: Intl Perspect. Race and Empire. This post focuses on the community brief. Key topics: Archival Work, Qualitative Analysis, Community Research. Toolkit: IRB-style Ethics, Transcription, Interview Protocols. We'll iterate with weekly check-ins and maintain documentation for grading and peer collaboration.",2025-04-26 08:07:37,2025-04-26 08:07:37
12,721,14,Document Archival Work for CS225-Reliable (CS225),"Our work aligns with CS - Data Structures. This post focuses on the poster session. Key topics: Policy Review, Archival Work, Ethnography. Toolkit: Transcription, Coding Schemes, Thematic Analysis. We'll iterate with weekly check-ins and maintain documentation for grading and peer collaboration.",2025-02-14 11:28:12,2025-02-21 14:30:12
13,721,14,Synthesize Community Research for CS225-Reliable (CS225),"Our work aligns with CS - Data Structures. This post focuses on the coding framework. Key topics: Oral Histories, Policy Review, Qualitative Analysis. Toolkit: Transcription, Thematic Analysis, IRB-style Ethics. We'll iterate with weekly check-ins and maintain documentation for grading and peer collaboration.",2025-02-18 11:28:12,2025-02-28 14:36:12
14,326,15,Present Qualitative Analysis for FAA550-Agile (FAA550),"Our work aligns with FAA - Cripistemology and the Arts Seminar. This post focuses on the literature review. Key topics: Community Research, Qualitative Analysis, Archival Work. Toolkit: IRB-style Ethics, Thematic Analysis, Transcription. We'll iterate with weekly check-ins and maintain documentation for grading and peer collaboration.",2025-04-20 20:58:12,2025-04-20 20:58:12
15,437,18,Present Ethnography for CHEM492-Vibrant (CHEM492),"Our work aligns with CHEM - Special Topics in Chemistry. This post focuses on the literature review. Key topics: Community Research, Policy Review, Archival Work. Toolkit: Interview Protocols, Transcription, Coding Schemes. We'll iterate with weekly check-ins and maintain documentation for grading and peer collaboration.",2025-04-16 19:35:55,2025-04-24 22:56:55
16,199,20,Conduct Community Research for CS412-Optimistic (CS412),"Our work aligns with CS - Introduction to Data Mining. This post focuses on the coding framework. Key topics: Community Research, Qualitative Analysis, Narrative Mapping. Toolkit: Thematic Analysis, Interview Protocols, Coding Schemes. We'll iterate with weekly check-ins and maintain documentation for grading and peer collaboration.",2025-02-14 20:11:21,2025-02-14 20:11:21
17,199,20,Synthesize Policy Review for CS412-Optimistic (CS412),"Our work aligns with CS - Introduction to Data Mining. This post focuses on the coding framework. Key topics: Oral Histories, Archival Work, Narrative Mapping. Toolkit: Interview Protocols, Transcription, Thematic Analysis. We'll iterate with weekly check-ins and maintain documentation for grading and peer collaboration.",2025-02-18 20:11:21,2025-02-18 20:11:21
18,144,22,Facilitate Ethnography for UP511-Youthful (UP511),"Our work aligns with UP - Law and Planning. This post focuses on the community brief. Key topics: Archival Work, Ethnography, Qualitative Analysis. Toolkit: Thematic Analysis, Interview Protocols, Transcription. We'll iterate with weekly check-ins and maintain documentation for grading and peer collaboration.",2025-04-22 10:55:43,2025-04-22 10:55:43
19,144,22,Synthesize Archival Work for UP511-Youthful (UP511),"Our work aligns with UP - Law and Planning. This post focuses on the field notes set. Key topics: Qualitative Analysis, Oral Histories, Ethnography. Toolkit: Coding Schemes, Thematic Analysis, Transcription. We'll iterate with weekly check-ins and maintain documentation for grading and peer collaboration.",2025-04-26 10:55:43,2025-04-26 10:55:43
20,786,25,Facilitate Ethnography for MUS153-Creative (MUS153),"Our work aligns with MUS - Supp Brass Inst: Horn. This post focuses on the community brief. Key topics: Policy Review, Ethnography, Qualitative Analysis. Toolkit: Transcription, Thematic Analysis, IRB-style Ethics. We'll iterate with weekly check-ins and maintain documentation for grading and peer collaboration.",2025-03-16 19:28:03,2025-03-16 19:28:03
21,786,25,Document Archival Work for MUS153-Creative (MUS153),"Our work aligns with MUS - Supp Brass Inst: Horn. This post focuses on the poster session. Key topics: Oral Histories, Qualitative Analysis, Policy Review. Toolkit: Transcription, Coding Schemes, Interview Protocols. We'll iterate with weekly check-ins and maintain documentation for grading and peer collaboration.",2025-03-17 19:28:03,2025-03-17 19:28:03
22,154,26,Document Ethnography for IS142-Tenacious (IS142),"Our work aligns with IS - Social History of Games and Gaming. This post focuses on the field notes set. Key topics: Policy Review, Ethnography, Qualitative Analysis. Toolkit: Thematic Analysis, Interview Protocols, IRB-style Ethics. We'll iterate with weekly check-ins and maintain documentation for grading and peer collaboration.",2025-01-12 14:41:35,2025-01-12 14:41:35
23,154,26,Synthesize Qualitative Analysis for IS142-Tenacious (IS142),"Our work aligns with IS - Social History of Games and Gaming. This post focuses on the coding framework. Key topics: Narrative Mapping, Policy Review, Oral Histories. Toolkit: Transcription, IRB-style Ethics, Thematic Analysis. We'll iterate with weekly check-ins and maintain documentation for grading and peer collaboration.",2025-01-14 14:41:35,2025-01-14 14:41:35
24,262,27,Facilitate Narrative Mapping for CHEM494-Energetic (CHEM494),"Our work aligns with CHEM - Lab Safety Fundamentals. This post focuses on the literature review. Key topics: Oral Histories, Community Research, Archival Work. Toolkit: Transcription, Interview Protocols, Thematic Analysis. We'll iterate with weekly check-ins and maintain documentation for grading and peer collaboration.",2025-01-13 17:23:57,2025-01-13 17:23:57
25,948,28,Facilitate Community Research for CEE460-Lively (CEE460),"Our work aligns with CEE - Steel Structures I. This post focuses on the coding framework. Key topics: Narrative Mapping, Ethnography, Oral Histories. Toolkit: Interview Protocols, Coding Schemes, Transcription. We'll iterate with weekly check-ins and maintain documentation for grading and peer collaboration.",2025-03-26 17:41:10,2025-03-26 17:41:10
26,273,30,Conduct Policy Review for CLE684-Zealous (CLE684),"Our work aligns with CLE - Internal Medicine Sub-Internship. This post focuses on the field notes set. Key topics: Policy Review, Narrative Mapping, Ethnography. Toolkit: Coding Schemes, Thematic Analysis, Interview Protocols. We'll iterate with weekly check-ins and maintain documentation for grading and peer collaboration.",2025-03-17 10:10:03,2025-03-17 10:10:03
